    1024,   8,       128,     0.015
    2048,   8,       256,     0.035
    4096,   8,       512,     0.069
    8192,   8,      1024,     0.131
   16384,   8,      2048,     0.273
   32768,   8,      4096,     0.559
   65536,   8,      8192,     1.000
  131072,   8,     16384,     1.639
  262144,   8,     32768,     0.458
  524288,   8,     65536,     0.858
 1048576,   8,    131072,     1.218
 2097152,   8,    262144,     1.468
 4194304,   8,    524288,     3.042
 8388608,   8,   1048576,     3.743
    1024,  16,        64,     0.017
    2048,  16,       128,     0.033
    4096,  16,       256,     0.070
    8192,  16,       512,     0.139
   16384,  16,      1024,     0.275
   32768,  16,      2048,     0.566
   65536,  16,      4096,     1.120
  131072,  16,      8192,     1.926
  262144,  16,     16384,     0.498
  524288,  16,     32768,     0.337
 1048576,  16,     65536,     1.793
 2097152,  16,    131072,     2.356
 4194304,  16,    262144,     4.484
 8388608,  16,    524288,     5.814
    1024,  32,        32,     0.018
    2048,  32,        64,     0.035
    4096,  32,       128,     0.069
    8192,  32,       256,     0.133
   16384,  32,       512,     0.296
   32768,  32,      1024,     0.770
   65536,  32,      2048,     1.204
  131072,  32,      4096,     2.036
  262144,  32,      8192,     0.485
  524288,  32,     16384,     0.997
 1048576,  32,     32768,     0.949
 2097152,  32,     65536,     1.634
 4194304,  32,    131072,     0.737
 8388608,  32,    262144,     2.212
    1024,  64,        16,     0.020
    2048,  64,        32,     0.045
    4096,  64,        64,     0.080
    8192,  64,       128,     0.143
   16384,  64,       256,     0.303
   32768,  64,       512,     0.736
   65536,  64,      1024,     1.213
  131072,  64,      2048,     2.457
  262144,  64,      4096,     0.045
  524288,  64,      8192,     1.093
 1048576,  64,     16384,     0.284
 2097152,  64,     32768,     3.750
 4194304,  64,     65536,     5.630
 8388608,  64,    131072,     2.400
    1024, 128,         8,     0.017
    2048, 128,        16,     0.036
    4096, 128,        32,     0.072
    8192, 128,        64,     0.147
   16384, 128,       128,     0.281
   32768, 128,       256,     0.576
   65536, 128,       512,     1.241
  131072, 128,      1024,     2.260
  262144, 128,      2048,     0.225
  524288, 128,      4096,     0.329
 1048576, 128,      8192,     1.100
 2097152, 128,     16384,     0.980
 4194304, 128,     32768,     6.629
 8388608, 128,     65536,    11.593
    1024, 256,         4,     0.017
    2048, 256,         8,     0.036
    4096, 256,        16,     0.073
    8192, 256,        32,     0.147
   16384, 256,        64,     0.278
   32768, 256,       128,     0.610
   65536, 256,       256,     1.115
  131072, 256,       512,     2.484
  262144, 256,      1024,     0.111
  524288, 256,      2048,     0.391
 1048576, 256,      4096,     0.675
 2097152, 256,      8192,     1.165
 4194304, 256,     16384,     4.328
 8388608, 256,     32768,    12.118
    1024, 512,         2,     0.013
    2048, 512,         4,     0.033
    4096, 512,         8,     0.070
    8192, 512,        16,     0.145
   16384, 512,        32,     0.298
   32768, 512,        64,     0.628
   65536, 512,       128,     1.259
  131072, 512,       256,     2.477
  262144, 512,       512,     0.160
  524288, 512,      1024,     1.002
 1048576, 512,      2048,     1.511
 2097152, 512,      4096,     2.539
 4194304, 512,      8192,     3.715
 8388608, 512,     16384,     2.436
