1024, 8, 29.4118, 23.24%
4096, 8, 100.0000, 22.39%
16384, 8, 444.4444, 22.19%
65536, 8, 1337.6878, 22.41%
262144, 8, 2858.3392, 22.47%
1048576, 8, 4041.9390, 22.50%
2097152, 8, 4407.8559, 22.49%
4194304, 8, 4594.1816, 22.50%
1024, 32, 30.3030, 24.32%
4096, 32, 121.2121, 22.39%
16384, 32, 484.8485, 22.89%
65536, 32, 1728.2701, 22.54%
262144, 32, 5254.6504, 22.43%
1048576, 32, 10442.3202, 22.58%
2097152, 32, 13094.1055, 22.46%
4194304, 32, 15182.6714, 22.51%
1024, 128, 31.2500, 23.05%
4096, 128, 117.6471, 22.17%
16384, 128, 470.5882, 22.55%
65536, 128, 1810.7869, 22.62%
262144, 128, 5906.2727, 22.61%
1048576, 128, 12745.2352, 22.53%
2097152, 128, 17031.1852, 22.50%
4194304, 128, 20393.9636, 22.53%
